 ,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Nm,rpm,hp
0,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190Nm@ 2000rpm,5,190,,
1,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250Nm@ 1500-2500rpm,5,250,,
2,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,219,,
3,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5,112,,
4,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75nm@ 4000rpm,5,113,,
5,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5,76,,
6,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,170Nm@ 1800-2400rpm,5,170,,
7,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160Nm@ 2000rpm,5,160,,
8,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,248,,
9,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,190,,
10,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84Nm@ 3500rpm,5,84,,
11,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115Nm@ 3500-3600rpm,5,115,,
12,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200Nm@ 1750rpm,7,200,,
13,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,219,,
14,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,219,,
15,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160Nm@ 2000rpm,5,160,,
16,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,200Nm@ 1750rpm,5,200,,
17,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,190,,
18,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,200,,
19,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,114Nm@ 3500rpm,5,114,,
20,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,115,,
21,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69Nm@ 3500rpm,5,69,,
22,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,172.5Nm@ 1750rpm,7,172,,
23,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,84Nm@ 3500rpm,5,84,,
24,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59Nm@ 2500rpm,8,59,,
25,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,200,,
26,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5,59,,
27,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5,114,,
28,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,200,,
29,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,60Nm@ 3500rpm,4,60,,
30,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,90Nm@ 3500rpm,5,90,,
31,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,151,,
32,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,104Nm@ 4000rpm,5,104,,
33,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7,320,,
34,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59Nm@ 2500rpm,4,59,,
35,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250Nm@ 1750-2500rpm,5,250,,
36,Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,145Nm@ 4600rpm,5,145,,
37,Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,146Nm@ 4800rpm,5,146,,
38,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,115Nm@ 4000rpm,5,115,,
39,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,200,,
40,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90Nm@ 3500rpm,5,90,,
41,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,343Nm@ 1400-3400rpm,7,343,,
42,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,200Nm@ 1400-3400rpm,7,200,,
43,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,200Nm@ 1250-4000rpm,5,200,,
44,Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,200Nm@ 1750rpm,5,200,,
45,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,400Nm@ 2000-2500rpm,7,400,,
46,Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200Nm@ 1750rpm,5,200,,
47,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,138Nm@ 4400rpm,5,138,,
48,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,200Nm@ 1750rpm,5,200,,
49,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,7,360,,
50,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,7,200,,
51,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,380Nm@ 1750-2500rpm,5,380,,
52,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,173Nm@ 4000rpm,5,173,,
53,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,400Nm@ 1750-3000rpm,5,400,,
54,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,400Nm@ 1400-2800rpm,5,400,,
55,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,200Nm@ 1750-3000rpm,5,200,,
56,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,111,,
57,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,219.6Nm@ 1500-2750rpm,5,219,,
58,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,190,,
59,Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,112Nm@ 4000rpm,5,112,,
